event_id,instance_id,detected_at,if_score,lstm_error,ensemble_score,severity,alert_sent,notes
132,my-windows-pc,2026-05-09 23:06:00.467227+05:30,0.9338,1,0.9735,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:36:00.303826+00:00
133,my-windows-pc,2026-05-09 23:06:35.028917+05:30,0.5445,1,0.8178,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:36:34.751635+00:00
134,my-windows-pc,2026-05-09 23:07:05.750025+05:30,0.5268,1,0.8107,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:37:05.660272+00:00
135,my-windows-pc,2026-05-09 23:07:36.880211+05:30,0.5599,1,0.8239,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:37:36.763525+00:00
136,my-windows-pc,2026-05-09 23:08:09.040427+05:30,0.6187,1,0.8475,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:38:08.883041+00:00
137,my-windows-pc,2026-05-09 23:08:43.20666+05:30,0.6425,1,0.857,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:38:43.049115+00:00
138,my-windows-pc,2026-05-09 23:09:13.924638+05:30,0.4868,1,0.7947,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:39:13.812258+00:00
139,my-windows-pc,2026-05-09 23:09:44.751868+05:30,0.4138,1,0.7655,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:39:44.610372+00:00
140,my-windows-pc,2026-05-09 23:10:15.5909+05:30,0.1841,1,0.6737,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:40:15.499862+00:00
141,my-windows-pc,2026-05-09 23:10:47.112652+05:30,0.185,1,0.674,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:40:46.889315+00:00
142,my-windows-pc,2026-05-09 23:11:20.970209+05:30,0.2223,1,0.6889,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:41:19.175114+00:00
143,my-windows-pc,2026-05-09 23:11:53.384163+05:30,0.7413,1,0.8965,HIGH,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:41:52.615545+00:00
144,my-windows-pc,2026-05-09 23:12:27.722793+05:30,0.6943,1,0.8777,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:42:26.753208+00:00
145,my-windows-pc,2026-05-09 23:12:58.668581+05:30,0.6723,1,0.8689,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:42:58.540292+00:00
146,my-windows-pc,2026-05-09 23:13:29.672306+05:30,0.542,1,0.8168,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:43:29.520505+00:00
147,my-windows-pc,2026-05-09 23:14:01.672439+05:30,0.4633,1,0.7853,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:44:01.429618+00:00
148,my-windows-pc,2026-05-09 23:14:33.5403+05:30,0.4284,1,0.7714,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:44:33.368100+00:00
149,my-windows-pc,2026-05-09 23:15:04.685276+05:30,0.4051,1,0.762,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:45:04.539604+00:00
150,my-windows-pc,2026-05-09 23:15:35.913702+05:30,0.3946,1,0.7579,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:45:35.749448+00:00
151,my-windows-pc,2026-05-09 23:16:07.45136+05:30,0.4493,1,0.7797,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:46:07.261892+00:00
152,my-windows-pc,2026-05-09 23:16:38.221219+05:30,0.2168,1,0.6867,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:46:38.056034+00:00
153,my-windows-pc,2026-05-09 23:17:40.282398+05:30,0.2622,1,0.7049,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:47:40.074477+00:00
154,my-windows-pc,2026-05-09 23:18:10.955701+05:30,0.2522,1,0.7009,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:48:10.870075+00:00
